config,pt_min,pt_max,pt_center,y_ee,e_ee,y_eeg,e_eeg,raw_eeg,pol2_eeg,eeg_over_ee,ee_over_eeg,fit_mean,fit_sigma,fit_chi2,fit_ndf
conv_tight,5.0,6.995,5.9975000000000005,7.838595662789885,0.020215113968090923,3.4873280671890825,0.012817089488313248,3.4873280671890825,0.0,0.44489194457925196,2.247736809318341,0.13703770403485552,0.013493477866473827,3099.1224827101546,86
conv_tight,7.0,9.995,8.497499999999999,1.194482702834648,0.0027223965303595915,0.5884564176712956,0.0019296729269405292,0.5884564176712956,0.0,0.49264540731717527,2.029857550983276,0.1380494488266503,0.01567096495153837,3311.595788251551,86
ecore04,0.6,0.795,0.6975,845.5670875933699,52.36531579169742,88.98895758482428,10.341964283884701,88.98895758482428,0.0,0.10524174709555244,9.501932717746191,0.1321699010312589,0.006001067217816093,277.5069531947797,64
ecore04,0.8,1.195,0.9975,6704.953282692382,71.75602661733673,899.258793532867,13.89484230611106,899.258793532867,0.0,0.13411857706065455,7.456088648687007,0.1351969638724076,0.007894300039974772,1408.130819377441,86
ecore04,1.2,1.5950000000000002,1.3975,3723.854297220707,26.802860892177854,615.859842668553,6.463834573581164,615.859842668553,0.0,0.16538236824362304,6.046593785178541,0.1352638338104986,0.00891562392264346,1749.1958153613905,86
ecore04,1.6,1.995,1.7975,1772.7200172543526,10.246845105583253,316.7060627427927,2.7939842211027006,316.7060627427927,0.0,0.1786554332665107,5.597366851464527,0.1369763632285783,0.00952739639384365,2151.9405569514756,86
ecore04,2.0,2.495,2.2475,811.8676618039608,3.8037176263063475,176.49031128502247,1.2243369027727435,176.49031128502247,0.0,0.21738802958706716,4.600069294981512,0.13700435065772043,0.009943168879716548,2650.0552568873286,86
ecore04,2.5,2.995,2.7475,272.44083942472935,1.1829722917787164,66.9161119351329,0.4340578522303643,66.9161119351329,0.0,0.24561703772616902,4.071378798708865,0.13618801374025946,0.010448403698388167,2982.593482138421,86
ecore04,3.0,3.995,3.4975,135.80115812458098,0.44647736692017964,39.30259560052582,0.1873083931251737,39.30259560052582,0.0,0.2894128160856367,3.4552720004773456,0.13708764343259058,0.011203246003695717,2221.9636291084353,86
ecore04,4.0,4.995,4.4975000000000005,24.49574453011155,0.07710378640207313,8.43444163321692,0.03906820374404356,8.43444163321692,0.0,0.3443227301317104,2.9042520649667245,0.1373560344446585,0.012412611162521403,2926.5473462181017,86
ecore04,5.0,6.995,5.9975000000000005,8.203202557982877,0.020529130998005313,3.263028888115514,0.011685975910530746,3.263028888115514,0.0,0.3977749988557975,2.5139840434328624,0.13706157429411628,0.013810944495311747,3722.702355258348,86
ecore04,7.0,9.995,8.497499999999999,1.228708009053662,0.0027414448175650417,0.5564987001880581,0.0018020281767872706,0.5564987001880581,0.0,0.45291370780326207,2.207926107713178,0.13818973362818987,0.016010254479982864,3336.542461511263,86
ecore05,0.6,0.795,0.6975,845.5670875933699,52.36531579169742,61.020947099652,7.78207044536745,61.020947099652,0.0,0.07216570748197894,13.856997109738275,0.13216966632526778,0.0060010365183583835,256.7731533970566,62
ecore05,0.8,1.195,0.9975,6704.953282692382,71.75602661733673,656.0190149853192,10.66750903089881,656.0190149853192,0.0,0.09784095240137064,10.220669111005005,0.1346395435447262,0.008345360865309554,1307.9262885366702,86
ecore05,1.2,1.5950000000000002,1.3975,3723.854297220707,26.802860892177854,481.48218752455796,5.164329468435157,481.48218752455796,0.0,0.12929673104662323,7.73414758366481,0.13558704162017207,0.008984727150632569,1796.631790684669,86
ecore05,1.6,1.995,1.7975,1772.7200172543526,10.246845105583253,237.3145604596284,2.1366545512380677,237.3145604596284,0.0,0.1338702999626467,7.469916779741482,0.13703063158139012,0.009438573091561544,2396.1059522205937,86
ecore05,2.0,2.495,2.2475,811.8676618039608,3.8037176263063475,138.78063883970754,0.972564054438448,138.78063883970754,0.0,0.17093997626576052,5.850006662252598,0.1369802242507168,0.010002448899218742,2506.0437689714668,86
ecore05,2.5,2.995,2.7475,272.44083942472935,1.1829722917787164,55.16690927554646,0.3599982765575784,55.16690927554646,0.0,0.2024913349703142,4.938482923956241,0.13631185734162393,0.010638849892278278,3199.5964409874546,86
ecore05,3.0,3.995,3.4975,135.80115812458098,0.44647736692017964,33.623450701703405,0.16030856014739644,33.623450701703405,0.0,0.24759325447620995,4.038882247077072,0.1372142266575097,0.011309090660163204,2386.9016260979492,86
ecore05,4.0,4.995,4.4975000000000005,24.49574453011155,0.07710378640207313,7.161166743506328,0.0330963603815765,7.161166743506328,0.0,0.29234329802482295,3.420635967221967,0.1373310721941292,0.012705750962278821,2828.8103797897506,86
ecore05,5.0,6.995,5.9975000000000005,8.203202557982877,0.020529130998005313,2.9341148764651734,0.010472971625804637,2.9341148764651734,0.0,0.3576791936717282,2.795801426788562,0.1372360178009037,0.013990263988809256,3803.66610494825,86
ecore05,7.0,9.995,8.497499999999999,1.228708009053662,0.0027414448175650417,0.5096426267236893,0.0016470670479013015,0.5096426267236893,0.0,0.41477928276565135,2.4109207994484048,0.13825894989802412,0.016428876880543338,3391.0658782175637,86
pte03,0.6,0.795,0.6975,681.0113900330596,47.97607306309912,92.16941235038522,11.179603473551301,92.16941235038522,0.0,0.13534195418656783,7.388691895356468,0.13215243929519163,0.0060325907521934325,246.83184157237034,61
pte03,0.8,1.195,0.9975,6041.547736524085,69.34859268932996,1118.6184062258558,18.7671868468482,1118.6184062258558,0.0,0.18515427751456223,5.400901418123331,0.13521833224336163,0.007171423525941454,1543.725840375693,86
pte03,1.2,1.5950000000000002,1.3975,3533.079291447997,26.26393661283805,774.6411054271775,8.305491380341198,774.6411054271775,0.0,0.21925381275824654,4.560924106266827,0.13506299725069576,0.009224533778263428,1456.9119088362322,86
pte03,1.6,1.995,1.7975,1701.8396038115025,10.016330491320069,394.346761310866,3.496505353282153,394.346761310866,0.0,0.2317179365362473,4.315591684218073,0.1364737568737143,0.009509520087790976,1987.1213052372675,86
pte03,2.0,2.495,2.2475,803.137917637825,3.7907781900893514,219.68677149693394,1.5157283639932624,219.68677149693394,0.0,0.2735355493401093,3.655831947300632,0.1367004575290828,0.010465523476570822,2211.012286330649,86
pte03,2.5,2.995,2.7475,270.298078879714,1.1808192434831621,80.37498922993746,0.5231173365556675,80.37498922993746,0.0,0.2973568645513952,3.3629625517764357,0.13634249803799312,0.010464511214843247,2740.4628132630505,86
pte03,3.0,3.995,3.4975,135.2751564923674,0.44664146333207017,46.38410577988179,0.22323636330335478,46.38410577988179,0.0,0.3428870975469832,2.9164118660457254,0.13673468840952263,0.011081584731675415,2264.356021735357,86
pte03,4.0,4.995,4.4975000000000005,24.44368693884462,0.07704723321403285,9.56638982068398,0.04401014760527752,9.56638982068398,0.0,0.3913644387860972,2.555163169913239,0.13719830760922236,0.012537297522855803,2827.342588585933,86
pte03,5.0,6.995,5.9975000000000005,8.188422118895687,0.02050715483841785,3.628978725133493,0.013030920624879877,3.628978725133493,0.0,0.4431841290593977,2.2563984908989716,0.13706885881941513,0.013589344483643469,3214.531859531344,86
pte03,7.0,9.995,8.497499999999999,1.2273580113105709,0.0027399678432825187,0.6014499152661301,0.001944755070152121,0.6014499152661301,0.0,0.49003624836725745,2.040665365739537,0.13802262395907422,0.015712635177766793,3417.8518520586135,86
pte04,0.6,0.795,0.6975,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-999
pte04,0.8,1.195,0.9975,3369.050302805601,54.40008527265632,574.5897828099505,13.206892972732565,574.5897828099505,0.0,0.17054948165406042,5.8634009924954364,0.133898484522025,0.006772028389049736,1099.0161709436723,86
